channel_id,product_id,size,forecast_ensemble,category_group
Amsterdam,B5ZJF102L8,onesize,29,socks
Amsterdam,J7DERD76U8,onesize,20,socks
Berlin,B5ZJF102L8,onesize,37,socks
Berlin,J7DERD76U8,onesize,48,socks
Brussels,B5ZJF102L8,onesize,51,socks
Brussels,J7DERD76U8,onesize,48,socks
Copenhagen,B5ZJF102L8,onesize,84,socks
Copenhagen,J7DERD76U8,onesize,81,socks
Helsinki,B5ZJF102L8,onesize,126,socks
Helsinki,J7DERD76U8,onesize,120,socks
Madrid,B5ZJF102L8,onesize,39,socks
Madrid,J7DERD76U8,onesize,25,socks
Paris,B5ZJF102L8,onesize,22,socks
Paris,J7DERD76U8,onesize,25,socks
Platform,B5ZJF102L8,onesize,10,socks
Platform,J7DERD76U8,onesize,11,socks
Rome,B5ZJF102L8,onesize,19,socks
Rome,J7DERD76U8,onesize,26,socks
Stockholm,B5ZJF102L8,onesize,77,socks
Stockholm,J7DERD76U8,onesize,51,socks
Webshop,B5ZJF102L8,onesize,124,socks
Webshop,J7DERD76U8,onesize,85,socks
